,precision,recall,f1-score,support
READY TO WEAR SAREE,0.0,0.0,0.0,4.0
ROMAN SANDALS,0.0,0.0,0.0,5.0
RUBBER/TPR BOOTS,0.0,0.0,0.0,2.0
RUBBER/TPR CANVAS AND SNEAKERS,0.0,0.0,0.0,3.0
RUBBER/TPR SANDALS,0.0,0.0,0.0,7.0
RUBBER/TPR SPORT SHOES,0.0,0.0,0.0,3.0
SANDALS,0.2,0.125,0.15384615384615385,8.0
SAREE WITH BLOUSE,0.20689655172413793,0.75,0.32432432432432434,8.0
SAREE WITHOUT BLOUSE,1.0,1.0,1.0,1.0
SHIRTS,0.3620689655172414,0.8076923076923077,0.5,26.0
SHORTS,0.5,0.5,0.5,6.0
SLIPPERS,0.125,0.14285714285714285,0.13333333333333333,7.0
SOCKS,0.8,1.0,0.8888888888888888,4.0
SPORT SHOES,0.3333333333333333,0.1,0.15384615384615385,20.0
SWEATERS,0.5,1.0,0.6666666666666666,1.0
SWEATSHIRTS,0.23529411764705882,0.5714285714285714,0.3333333333333333,7.0
SYNTHETIC HAND PASTED SNEAKER,0.14285714285714285,0.09090909090909091,0.1111111111111111,11.0
SYNTHETIC HAND PASTED SPORTS,0.0,0.0,0.0,14.0
SYNTHETIC HANDMADE BELLIES,0.20833333333333334,0.38461538461538464,0.2702702702702703,13.0
SYNTHETIC HANDMADE FORMAL SHOES,0.2727272727272727,0.6428571428571429,0.3829787234042553,14.0
SYNTHETIC HANDMADE HEEL BELLIES,0.0,0.0,0.0,2.0
SYNTHETIC HANDMADE HEEL SANDALS,0.14285714285714285,0.16666666666666666,0.15384615384615385,6.0
SYNTHETIC HANDMADE HEEL SLIPPERS,0.5,0.6,0.5454545454545454,5.0
SYNTHETIC HANDMADE JUTTIES,0.0,0.0,0.0,1.0
SYNTHETIC HANDMADE LOAFER SHOES,0.08695652173913043,0.4,0.14285714285714285,5.0
SYNTHETIC HANDMADE SANDALS,0.0,0.0,0.0,7.0
SYNTHETIC HANDMADE SLIPPERS,0.2033898305084746,0.48,0.2857142857142857,25.0
SYNTHETIC PASTED FORMAL,0.0,0.0,0.0,2.0
SYNTHETIC PASTED SLIPPERS,0.0,0.0,0.0,1.0
SYNTHETIC STITCH LOAFER,0.0,0.0,0.0,1.0
T-SHIRTS,0.22,0.8461538461538461,0.3492063492063492,26.0
TOP & BOTTOM SET,0.0,0.0,0.0,2.0
TOP BOTTOM SET,0.125,0.6666666666666666,0.21052631578947367,6.0
TOPS,0.0,0.0,0.0,0.0
TRACK PANTS,0.4,0.8571428571428571,0.5454545454545454,7.0
TRACK SUITS,0.0,0.0,0.0,2.0
TROUSERS,0.0,0.0,0.0,3.0
UNSTITCHED BLOUSE,0.0,0.0,0.0,1.0
VESTS,0.0,0.0,0.0,0.0
WEDGE SANDALS,0.5,0.09090909090909091,0.15384615384615385,11.0
WEDGE SLIPPERS,0.0,0.0,0.0,3.0
WOVEN CAPS AND HATS,0.0,0.0,0.0,1.0
WOVEN DIGITAL PRINT SAREES,0.0,0.0,0.0,1.0
WOVEN DYED SAREES,0.0,0.0,0.0,2.0
WOVEN EMBROIDERED KURTIS,0.0,0.0,0.0,13.0
WOVEN EMBROIDERED LEHENGAS,0.0,0.0,0.0,2.0
WOVEN EMBROIDERED SAREES,0.0,0.0,0.0,1.0
WOVEN GOWNS,0.0,0.0,0.0,5.0
WOVEN JACQUARD SAREES,0.0,0.0,0.0,1.0
WOVEN JEANS,0.0,0.0,0.0,6.0
WOVEN MILL PRINT DUPATTAS,0.0,0.0,0.0,1.0
WOVEN MILL PRINT KURTIS,0.0,0.0,0.0,6.0
WOVEN MILL PRINT SAREES,1.0,0.06666666666666667,0.125,15.0
WOVEN SALWARS,0.0,0.0,0.0,1.0
WOVEN SCREEN PRINT KURTIS,0.0,0.0,0.0,2.0
WOVEN SHIRTS,0.0,0.0,0.0,20.0
WOVEN SOCKS,0.0,0.0,0.0,1.0
WOVEN SOLID/PLAIN/DYED KURTIS,0.0,0.0,0.0,3.0
WOVEN TOP,0.0,0.0,0.0,1.0
WOVEN TROUSERS,0.0,0.0,0.0,5.0
WOVEN VALUE ADDITION KURTIS (HAND AND STONE WORK),0.0,0.0,0.0,1.0
WOVEN VALUE ADDITION SAREES (HAND AND STONE WORK),0.0,0.0,0.0,3.0
macro avg,0.127533653317032,0.15222943611497827,0.1153159237480218,970.0
weighted avg,0.18960142585056247,0.2329896907216495,0.16384981803141468,970.0
